Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2000","2000","kg/ha","13.02","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2001","2001","kg/ha","14.45","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","11.37","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","12.21","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","11.37","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","12.72","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","13.5","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","13.77","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","12.63","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","13","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","13.11","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","16.13","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","19.48","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","23.45","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","19.3","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","15.16","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","19.65","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","25.34","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","18.77","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2019","2019","kg/ha","22.05","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2020","2020","kg/ha","29.06","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1961","1961","kg/1000 Int.$","1.38","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1962","1962","kg/1000 Int.$","1.55","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1963","1963","kg/1000 Int.$","3.25","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1964","1964","kg/1000 Int.$","4.38","E","Estimated value"
